Level,MetricName,ParentCategory,CountDomain,UnitOfMeasure,Formula,BaseFormula,Events,Constants,ResolutionLevels,MetricGroup
3,DSB,Fetch_Bandwidth,Slots_Estimated,percent,100 * ( ( a - b ) / ( c if smt_on else ( d ) ) / 2 ),( idq.dsb_cycles_any - idq.dsb_cycles_ok ) / tma_info_core_core_clks / 2,a=IDQ.DSB_CYCLES_ANY;b=IDQ.DSB_CYCLES_OK;c=CPU_CLK_UNHALTED.DISTRIBUTED;d=CPU_CLK_UNHALTED.THREAD,smt_on=HYPERTHREADING_ON;threads=THREADS_PER_CORE,"THREAD, CORE, SOCKET, SYSTEM",DSB;FetchBW
3,DSB_Switches,Fetch_Latency,Clocks,percent,100 * ( a / ( b ) ),dsb2mite_switches.penalty_cycles / tma_info_thread_clks,a=DSB2MITE_SWITCHES.PENALTY_CYCLES;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",DSBmiss;FetchLat
3,Divider,Core_Bound,Clocks,percent,100 * ( a / ( b ) ),arith.div_active / tma_info_thread_clks,a=ARITH.DIV_ACTIVE;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BvCB
3,FP_Arith,Light_Operations,Uops,percent,100 * ( ( ( a / ( b + c + a + d ) ) * e / f ) + ( ( g + h ) / ( ( a / ( b + c + a + d ) ) * ( i ) ) ) + ( ( j + k ) / ( ( a / ( b + c + a + d ) ) * ( i ) ) ) ),tma_x87_use + tma_fp_scalar + tma_fp_vector,a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=UOPS_EXECUTED.X87;f=UOPS_EXECUTED.THREAD;g=FP_ARITH_INST_RETIRED.SCALAR;h=FP_ARITH_INST_RETIRED2.SCALAR;i=TOPDOWN.SLOTS:perf_metrics;j=FP_ARITH_INST_RETIRED.VECTOR;k=FP_ARITH_INST_RETIRED2.VECTOR,,"THREAD, CORE, SOCKET, SYSTEM",HPC
3,Few_Uops_Instructions,Heavy_Operations,Slots,percent,"100 * ( max( 0 , ( a / ( b + c + d + e ) ) - ( f / ( g ) ) ) )","max( 0 , tma_heavy_operations - tma_microcode_sequencer )",a=PERF_METRICS.HEAVY_OPERATIONS;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND;f=UOPS_RETIRED.MS;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",
3,Fused_Instructions,Light_Operations,Slots,percent,"100 * ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * f / ( ( a / ( b + c + a + d ) ) * ( g ) ) )",tma_light_operations * inst_retired.macro_fused / ( tma_retiring * tma_info_thread_slots ),a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=PERF_METRICS.HEAVY_OPERATIONS;f=INST_RETIRED.MACRO_FUSED;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Branches;BvBO;Pipeline
3,ICache_Misses,Fetch_Latency,Clocks,percent,100 * ( a / ( b ) ),icache_data.stalls / tma_info_thread_clks,a=ICACHE_DATA.STALLS;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BigFootprint;BvBC;FetchLat;IcMiss
3,ITLB_Misses,Fetch_Latency,Clocks,percent,100 * ( a / ( b ) ),icache_tag.stalls / tma_info_thread_clks,a=ICACHE_TAG.STALLS;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BigFootprint;BvBC;FetchLat;MemoryTLB
3,Int_Operations,Light_Operations,Uops,percent,100 * ( ( ( a + b ) / ( ( c / ( d + e + c + f ) ) * ( g ) ) ) + ( ( h + i + j ) / ( ( c / ( d + e + c + f ) ) * ( g ) ) ) ),tma_int_vector_128b + tma_int_vector_256b,a=INT_VEC_RETIRED.ADD_128;b=INT_VEC_RETIRED.VNNI_128;c=PERF_METRICS.RETIRING;d=PERF_METRICS.FRONTEND_BOUND;e=PERF_METRICS.BAD_SPECULATION;f=PERF_METRICS.BACKEND_BOUND;g=TOPDOWN.SLOTS:perf_metrics;h=INT_VEC_RETIRED.ADD_256;i=INT_VEC_RETIRED.MUL_256;j=INT_VEC_RETIRED.VNNI_256,,"THREAD, CORE, SOCKET, SYSTEM",Pipeline
3,L1_Bound,Memory_Bound,Stalls,percent,"100 * ( max( ( a - b ) / ( c ) , 0 ) )","max( ( exe_activity.bound_on_loads - memory_activity.stalls_l1d_miss ) / tma_info_thread_clks , 0 )",a=EXE_ACTIVITY.BOUND_ON_LOADS;b=MEMORY_ACTIVITY.STALLS_L1D_MISS;c=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",CacheHits;MemoryBound;TmaL3mem
3,L2_Bound,Memory_Bound,Stalls,percent,100 * ( ( a - b ) / ( c ) ),( memory_activity.stalls_l1d_miss - memory_activity.stalls_l2_miss ) / tma_info_thread_clks,a=MEMORY_ACTIVITY.STALLS_L1D_MISS;b=MEMORY_ACTIVITY.STALLS_L2_MISS;c=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BvML;CacheHits;MemoryBound;TmaL3mem
3,L3_Bound,Memory_Bound,Stalls,percent,100 * ( ( a - b ) / ( c ) ),( memory_activity.stalls_l2_miss - memory_activity.stalls_l3_miss ) / tma_info_thread_clks,a=MEMORY_ACTIVITY.STALLS_L2_MISS;b=MEMORY_ACTIVITY.STALLS_L3_MISS;c=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",CacheHits;MemoryBound;TmaL3mem
3,L3_Miss_Bound,Memory_Bound,Stalls,percent,100 * ( ( a / ( b ) ) ),( memory_activity.stalls_l3_miss / tma_info_thread_clks ),a=MEMORY_ACTIVITY.STALLS_L3_MISS;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",MemoryBound;TmaL3mem;Offcore
3,LCP,Fetch_Latency,Clocks,percent,100 * ( a / ( b ) ),decode.lcp / tma_info_thread_clks,a=DECODE.LCP;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",FetchLat
3,MITE,Fetch_Bandwidth,Slots_Estimated,percent,100 * ( ( a - b ) / ( c if smt_on else ( d ) ) / 2 ),( idq.mite_cycles_any - idq.mite_cycles_ok ) / tma_info_core_core_clks / 2,a=IDQ.MITE_CYCLES_ANY;b=IDQ.MITE_CYCLES_OK;c=CPU_CLK_UNHALTED.DISTRIBUTED;d=CPU_CLK_UNHALTED.THREAD,smt_on=HYPERTHREADING_ON;threads=THREADS_PER_CORE,"THREAD, CORE, SOCKET, SYSTEM",DSBmiss;FetchBW
3,MS,Fetch_Bandwidth,Slots_Estimated,percent,"100 * ( max( a , b / ( c / d ) ) / ( e if smt_on else ( f ) ) / 2.4 )","max( idq.ms_cycles_any , uops_retired.ms:c1 / ( uops_retired.slots / uops_issued.any ) ) / tma_info_core_core_clks / 2.4",a=IDQ.MS_CYCLES_ANY;b=UOPS_RETIRED.MS:c1;c=UOPS_RETIRED.SLOTS;d=UOPS_ISSUED.ANY;e=CPU_CLK_UNHALTED.DISTRIBUTED;f=CPU_CLK_UNHALTED.THREAD,smt_on=HYPERTHREADING_ON;threads=THREADS_PER_CORE,"THREAD, CORE, SOCKET, SYSTEM",MicroSeq
3,MS_Switches,Fetch_Latency,Clocks_Estimated,percent,100 * ( ( 3 ) * a / ( b / c ) / ( d ) ),( 3 ) * uops_retired.ms:c1:e1 / ( uops_retired.slots / uops_issued.any ) / tma_info_thread_clks,a=UOPS_RETIRED.MS:c1:e1;b=UOPS_RETIRED.SLOTS;c=UOPS_ISSUED.ANY;d=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",FetchLat;MicroSeq
3,Memory_Operations,Light_Operations,Slots,percent,"100 * ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * f / ( ( a / ( b + c + a + d ) ) * ( g ) ) )",tma_light_operations * mem_uop_retired.any / ( tma_retiring * tma_info_thread_slots ),a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=PERF_METRICS.HEAVY_OPERATIONS;f=MEM_UOP_RETIRED.ANY;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Pipeline
3,Microcode_Sequencer,Heavy_Operations,Slots,percent,100 * ( a / ( b ) ),uops_retired.ms / tma_info_thread_slots,a=UOPS_RETIRED.MS;b=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",MicroSeq
3,Non_Fused_Branches,Light_Operations,Slots,percent,"100 * ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * ( f - g ) / ( ( a / ( b + c + a + d ) ) * ( h ) ) )",tma_light_operations * ( br_inst_retired.all_branches - inst_retired.macro_fused ) / ( tma_retiring * tma_info_thread_slots ),a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=PERF_METRICS.HEAVY_OPERATIONS;f=BR_INST_RETIRED.ALL_BRANCHES;g=INST_RETIRED.MACRO_FUSED;h=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Branches;BvBO;Pipeline
3,Other_Light_Ops,Light_Operations,Slots,percent,"100 * ( max( 0 , ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) - ( ( ( ( a / ( b + c + a + d ) ) * f / g ) + ( ( h + i ) / ( ( a / ( b + c + a + d ) ) * ( j ) ) ) + ( ( k + l ) / ( ( a / ( b + c + a + d ) ) * ( j ) ) ) ) + ( ( ( m + n ) / ( ( a / ( b + c + a + d ) ) * ( j ) ) ) + ( ( o + p + q ) / ( ( a / ( b + c + a + d ) ) * ( j ) ) ) ) + ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * r / ( ( a / ( b + c + a + d ) ) * ( j ) ) ) + ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * s / ( ( a / ( b + c + a + d ) ) * ( j ) ) ) + ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * ( t - s ) / ( ( a / ( b + c + a + d ) ) * ( j ) ) ) ) ) )","max( 0 , tma_light_operations - ( tma_fp_arith + tma_int_operations + tma_memory_operations + tma_fused_instructions + tma_non_fused_branches ) )",a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=PERF_METRICS.HEAVY_OPERATIONS;f=UOPS_EXECUTED.X87;g=UOPS_EXECUTED.THREAD;h=FP_ARITH_INST_RETIRED.SCALAR;i=FP_ARITH_INST_RETIRED2.SCALAR;j=TOPDOWN.SLOTS:perf_metrics;k=FP_ARITH_INST_RETIRED.VECTOR;l=FP_ARITH_INST_RETIRED2.VECTOR;m=INT_VEC_RETIRED.ADD_128;n=INT_VEC_RETIRED.VNNI_128;o=INT_VEC_RETIRED.ADD_256;p=INT_VEC_RETIRED.MUL_256;q=INT_VEC_RETIRED.VNNI_256;r=MEM_UOP_RETIRED.ANY;s=INST_RETIRED.MACRO_FUSED;t=BR_INST_RETIRED.ALL_BRANCHES,,"THREAD, CORE, SOCKET, SYSTEM",Pipeline
3,Other_Mispredicts,Branch_Mispredicts,Slots,percent,"100 * ( max( ( a / ( b + c + d + e ) ) * ( 1 - f / ( g - h ) ) , 0.0001 ) )","max( tma_branch_mispredicts * ( 1 - br_misp_retired.all_branches / ( int_misc.clears_count - machine_clears.count ) ) , 0.0001 )",a=PERF_METRICS.BRANCH_MISPREDICTS;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND;f=BR_MISP_RETIRED.ALL_BRANCHES;g=INT_MISC.CLEARS_COUNT;h=MACHINE_CLEARS.COUNT,,"THREAD, CORE, SOCKET, SYSTEM",BvIO;BrMispredicts
3,Other_Nukes,Machine_Clears,Slots,percent,"100 * ( max( ( max( 0 , ( max( 1 - ( ( a / ( a + b + c + d ) - e / ( f ) ) + ( d / ( a + b + c + d ) ) + ( c / ( a + b + c + d ) ) ) , 0 ) ) - ( g / ( a + b + c + d ) ) ) ) * ( 1 - h / i ) , 0.0001 ) )","max( tma_machine_clears * ( 1 - machine_clears.memory_ordering / machine_clears.count ) , 0.0001 )",a=PERF_METRICS.FRONTEND_BOUND;b=PERF_METRICS.BAD_SPECULATION;c=PERF_METRICS.RETIRING;d=PERF_METRICS.BACKEND_BOUND;e=INT_MISC.UOP_DROPPING;f=TOPDOWN.SLOTS:perf_metrics;g=PERF_METRICS.BRANCH_MISPREDICTS;h=MACHINE_CLEARS.MEMORY_ORDERING;i=MACHINE_CLEARS.COUNT,,"THREAD, CORE, SOCKET, SYSTEM",BvIO;Machine_Clears
3,Ports_Utilization,Core_Bound,Clocks,percent,"100 * ( ( ( ( a + max( b - c , 0 ) ) / ( d ) * ( e - f ) / ( d ) ) * ( d ) + ( g + ( h / ( i + j + h + k ) ) * l ) ) / ( d ) if ( m < ( e - f ) ) else ( g + ( h / ( i + j + h + k ) ) * l ) / ( d ) )",( tma_ports_utilized_0 * tma_info_thread_clks + ( exe_activity.1_ports_util + tma_retiring * exe_activity.2_3_ports_util ) ) / tma_info_thread_clks if ( arith.div_active < ( cycle_activity.stalls_total - exe_activity.bound_on_loads ) ) else ( exe_activity.1_ports_util + tma_retiring * exe_activity.2_3_ports_util ) / tma_info_thread_clks,a=EXE_ACTIVITY.EXE_BOUND_0_PORTS;b=RS.EMPTY_RESOURCE;c=RESOURCE_STALLS.SCOREBOARD;d=CPU_CLK_UNHALTED.THREAD;e=CYCLE_ACTIVITY.STALLS_TOTAL;f=EXE_ACTIVITY.BOUND_ON_LOADS;g=EXE_ACTIVITY.1_PORTS_UTIL;h=PERF_METRICS.RETIRING;i=PERF_METRICS.FRONTEND_BOUND;j=PERF_METRICS.BAD_SPECULATION;k=PERF_METRICS.BACKEND_BOUND;l=EXE_ACTIVITY.2_3_PORTS_UTIL;m=ARITH.DIV_ACTIVE,,"THREAD, CORE, SOCKET, SYSTEM",PortsUtil
3,Serializing_Operation,Core_Bound,Clocks,percent,100 * ( a / ( b ) + ( c / ( b ) ) ),resource_stalls.scoreboard / tma_info_thread_clks + tma_c02_wait,a=RESOURCE_STALLS.SCOREBOARD;b=CPU_CLK_UNHALTED.THREAD;c=CPU_CLK_UNHALTED.C02,,"THREAD, CORE, SOCKET, SYSTEM",BvIO;PortsUtil
3,Store_Bound,Memory_Bound,Stalls,percent,100 * ( a / ( b ) ),exe_activity.bound_on_stores / tma_info_thread_clks,a=EXE_ACTIVITY.BOUND_ON_STORES;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",MemoryBound;TmaL3mem
4,Assists,Microcode_Sequencer,Slots_Estimated,percent,100 * ( ( ( 99 * 3 + 63 + 30 ) / 5 ) * a / ( b ) ),( ( 99 *3 + 63 + 30 ) / 5 ) * assists.any / tma_info_thread_slots,a=ASSISTS.ANY;b=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",BvIO
4,C01_Wait,Serializing_Operation,Clocks,percent,100 * ( a / ( b ) ),cpu_clk_unhalted.c01 / tma_info_thread_clks,a=CPU_CLK_UNHALTED.C01;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",C0Wait
4,C02_Wait,Serializing_Operation,Clocks,percent,100 * ( a / ( b ) ),cpu_clk_unhalted.c02 / tma_info_thread_clks,a=CPU_CLK_UNHALTED.C02;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",C0Wait
4,CISC,Microcode_Sequencer,Slots,percent,"100 * ( max( 0 , ( a / ( b ) ) - ( ( ( 99 * 3 + 63 + 30 ) / 5 ) * c / ( b ) ) ) )","max( 0 , tma_microcode_sequencer - tma_assists )",a=UOPS_RETIRED.MS;b=TOPDOWN.SLOTS:perf_metrics;c=ASSISTS.ANY,,"THREAD, CORE, SOCKET, SYSTEM",
4,Clears_Resteers,Branch_Resteers,Clocks,percent,"100 * ( ( 1 - ( ( a / ( b + c + d + e ) ) / ( max( 1 - ( ( b / ( b + c + d + e ) - f / ( g ) ) + ( e / ( b + c + d + e ) ) + ( d / ( b + c + d + e ) ) ) , 0 ) ) ) ) * h / ( i ) )",( 1 - ( tma_branch_mispredicts / tma_bad_speculation ) ) * int_misc.clear_resteer_cycles / tma_info_thread_clks,a=PERF_METRICS.BRANCH_MISPREDICTS;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND;f=INT_MISC.UOP_DROPPING;g=TOPDOWN.SLOTS:perf_metrics;h=INT_MISC.CLEAR_RESTEER_CYCLES;i=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BadSpec;MachineClears
4,Code_L2_Hit,ICache_Misses,Clocks_Retired,percent,"100 * ( max( 0 , ( a / ( b ) ) - ( c / ( b ) ) ) )","max( 0 , tma_icache_misses - tma_code_l2_miss )",a=ICACHE_DATA.STALLS;b=CPU_CLK_UNHALTED.THREAD;c=OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_CODE_RD,,"THREAD, CORE, SOCKET, SYSTEM",IcMiss;FetchLat;Offcore
4,Code_L2_Miss,ICache_Misses,Clocks_Retired,percent,100 * ( a / ( b ) ),offcore_requests_outstanding.cycles_with_demand_code_rd / tma_info_thread_clks,a=OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_CODE_RD;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",IcMiss;FetchLat;Offcore
4,Code_STLB_Hit,ITLB_Misses,Clocks_Retired,percent,"100 * ( max( 0 , ( a / ( b ) ) - ( c / ( b ) ) ) )","max( 0 , tma_itlb_misses - tma_code_stlb_miss )",a=ICACHE_TAG.STALLS;b=CPU_CLK_UNHALTED.THREAD;c=ITLB_MISSES.WALK_ACTIVE,,"THREAD, CORE, SOCKET, SYSTEM",FetchLat;MemoryTLB
4,Code_STLB_Miss,ITLB_Misses,Clocks_Retired,percent,100 * ( a / ( b ) ),itlb_misses.walk_active / tma_info_thread_clks,a=ITLB_MISSES.WALK_ACTIVE;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",FetchLat;MemoryTLB
